Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5oQcOu1omDykbIPSdSQQNJ,"1985","A Hangover You Don't Deserve","Bowling For Soup",2004,193000,71,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:13:30Z,"pop punk,punk","Jive",0.606,0.887,4,-4.404,1,0.0598,0.000242,0,0.337,0.903,119.974,4
spotify:track:3imITUqEhkebNbOoS1yrWm,"All I Want","What Separates Me From You","A Day To Remember",2010,202640,1,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:14:20Z,"metalcore,post-hardcore,pop punk,screamo,emo","Victory",0.342,0.981,2,-3.228,0,0.14,0.0000253,0,0.343,0.207,160.083,4
spotify:track:2OB5VvojYUeXLc4y4GDXdp,"We Come Running","Wake Up (Spotify Version)","Youngblood Hawke",2013-01-01,247506,0,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:14:46Z,"","Universal Music Group",0.556,0.748,10,-7.012,1,0.0405,0.000283,0.00417,0.109,0.325,124.973,4
spotify:track:0THbsvMRmCHpFT3YLX301c,"Hey There Delilah","All That We Needed","Plain White T's",2005,232813,0,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:15:06Z,"","Fearless Records - Catalog",0.658,0.296,2,-10.584,1,0.0293,0.872,0,0.114,0.311,103.975,4
spotify:track:3mcG2NI5G5vhrQtRda1YnA,"The Middle","Bleed American (Deluxe Edition)","Jimmy Eat World",2001,168253,4,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:15:16Z,"emo,pop punk","Interscope",0.629,0.897,2,-3.401,1,0.0483,0.0424,0,0.263,0.93,161.944,4
spotify:track:1JdKrFyoU05abww0Zv0ayQ,"That's What You Get","Riot!","Paramore",2007-06-12,220480,70,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:15:24Z,"pop punk,emo","Fueled By Ramen",0.528,0.831,8,-3.607,1,0.0429,0.0000943,0,0.141,0.632,131.094,3
spotify:track:2Fn3coxd0xAZ09JtrgcgHa,"Middle","Middle","DJ Snake;Bipolar Sunshine",2015-10-16,220573,0,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:16:03Z,"","Universal Music Group",0.604,0.745,9,-4.103,1,0.0385,0.0161,0,0.0542,0.205,104.941,4
spotify:track:6SRMpCmXRkpdF9fTxHUd0w,"We Got This","Bad Vibrations (Deluxe Edition)","A Day To Remember",2016-09-02,229400,41,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:16:23Z,"metalcore,post-hardcore,pop punk,screamo,emo","ADTR Records",0.365,0.972,10,-4.461,1,0.136,0.000308,0,0.221,0.291,135.045,4
spotify:track:2RgUp8wGi8bpELvHJpRDWD,"Naivety","Bad Vibrations (Deluxe Edition)","A Day To Remember",2016-09-02,199390,41,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:16:30Z,"metalcore,post-hardcore,pop punk,screamo,emo","ADTR Records",0.351,0.979,0,-3.621,1,0.132,0.000124,0.00000346,0.255,0.333,174.734,4
spotify:track:5uCax9HTNlzGybIStD3vDh,"Say You Won't Let Go","Back from the Edge","James Arthur",2016-10-28,211477,86,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:16:41Z,"soft pop","Columbia",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4
spotify:track:4YUdFh3ygFsdbDW28DV0xz,"Floral & Fading","Misadventures","Pierce The Veil",2016-05-13,209186,0,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:16:53Z,"emo,screamo,post-hardcore","Fearless Records",0.653,0.793,2,-3.755,1,0.0251,0.00113,0,0.388,0.765,99.988,4
spotify:track:1wC93sZRGcTgKLN2UWRSwW,"Perfect Places","Melodrama","Lorde",2017-06-16,221874,0,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:17:37Z,"","Universal Music Group",0.621,0.574,1,-5.325,0,0.0555,0.00289,0.0000304,0.128,0.537,104.344,4
spotify:track:3eR23VReFzcdmS7TYCrhCe,"It Ain't Me (with Selena Gomez)","It Ain't Me (with Selena Gomez)","Kygo;Selena Gomez",2017-02-16,220780,78,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:17:52Z,"tropical house","Kygo",0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,4
spotify:track:5WkPWduQVV8fh7pppm1fqg,"LOVE. FEAT. ZACARI.","DAMN.","Kendrick Lamar;Zacari",2017-04-14,213400,0,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:18:03Z,"hip hop,west coast hip hop","Universal Music Group",0.801,0.58,10,-7.311,1,0.1,0.289,0,0.153,0.777,126.062,4
spotify:track:4cGeMgLcykDLAazHFpbZbU,"DNA.","DAMN.","Kendrick Lamar",2017-04-14,185946,1,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:18:17Z,"hip hop,west coast hip hop","Universal Music Group",0.636,0.517,0,-6.759,1,0.36,0.00402,0,0.0874,0.394,139.928,4
spotify:track:0jdny0dhgjUwoIp5GkqEaA,"Praying","Rainbow","Kesha",2017-08-11,230269,68,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:19:46Z,"","Kemosabe Records/RCA Records",0.543,0.39,10,-7.202,1,0.0322,0.489,0,0.111,0.303,73.415,4
spotify:track:7vGuf3Y35N4wmASOKLUVVU,"Silence","Silence","Marshmello;Khalid",2017-08-11,180822,79,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:20:56Z,"edm","Joytime Collective/RCA Records",0.52,0.761,4,-3.093,1,0.0853,0.256,0.00000496,0.17,0.286,141.971,4
spotify:track:1g1TeDflB6atAy7HKwrzXu,"Learn To Let Go","Rainbow","Kesha",2017-08-11,217545,47,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:21:08Z,"","Kemosabe Records/RCA Records",0.515,0.847,5,-2.951,1,0.0391,0.00369,0.0000719,0.293,0.645,168.105,4
spotify:track:33i0KOPBWURNW3l97a4QPy,"Alright","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,219333,0,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:21:20Z,"hip hop,west coast hip hop","Universal Music Group",0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4
spotify:track:1vffte5WTHIik37ePfJdo4,"King Kunta","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,234693,1,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:21:25Z,"hip hop,west coast hip hop","Universal Music Group",0.884,0.657,6,-4.569,0,0.0977,0.00589,0,0.154,0.489,107.059,4
spotify:track:7cQMJ0wDqVS5iM0JIvP6Ay,"The Last Of The Real Ones","The Last Of The Real Ones","Fall Out Boy",2017-09-14,230426,0,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:22:10Z,"emo,pop punk","Island Records",0.577,0.882,8,-5.224,1,0.0492,0.00527,0,0.257,0.564,115.022,4
spotify:track:19YmvsVCetCBeVj6O2mljR,"Still Breathing","Revolution Radio","Green Day",2016-10-07,224760,62,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:22:15Z,"punk,pop punk","Reprise",0.54,0.902,1,-3.577,1,0.0442,0.0142,0,0.0756,0.692,75.033,4
spotify:track:23oxJmDc1V9uLUSmN2LIvx,"Ocean Avenue","Ocean Avenue","Yellowcard",2003-01-01,198266,73,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:22:23Z,"pop punk,punk,emo","Capitol Records",0.486,0.904,6,-3.751,0,0.0638,0.0000343,0.0000283,0.0947,0.786,173.734,4
spotify:track:5bgwqaRSS3M8WHWruHgSL5,"8TEEN","American Teen","Khalid",2017-04-27,228593,72,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:22:38Z,"","Right Hand Music Group, LLC/RCA Records",0.83,0.585,1,-5.802,1,0.0366,0.225,0.00209,0.0576,0.642,105.03,4
spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,"Young Dumb & Broke","American Teen","Khalid",2017-04-27,202534,82,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:22:46Z,"","Right Hand Music Group, LLC/RCA Records",0.799,0.539,1,-6.351,1,0.0421,0.199,0.0000166,0.165,0.394,136.948,4
spotify:track:312WNtMs3F28cUukaPY9bo,"American Teen","American Teen","Khalid",2017-04-27,250758,60,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:22:51Z,"","Right Hand Music Group, LLC/RCA Records",0.658,0.623,0,-6.934,1,0.0398,0.0683,0,0.321,0.207,100.436,4
spotify:track:152lZdxL1OR0ZMW6KquMif,"Location","American Teen","Khalid",2017-04-27,219080,77,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:22:55Z,"","Right Hand Music Group, LLC/RCA Records",0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,4
spotify:track:1UqhkbzB1kuFwt2iy4h29Q,"Cough Syrup","Young The Giant (Special Edition)","Young the Giant",2011,249520,71,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:23:02Z,"","Roadrunner Records",0.534,0.721,11,-7.307,0,0.0417,0.0343,0.00000624,0.115,0.225,128.978,3
spotify:track:6K6cmRM64IvoDkHQeZtewC,"I Really Like You","Emotion","Carly Rae Jepsen",2015-08-21,204772,0,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:23:12Z,"","Universal Music Group",0.621,0.825,5,-4.686,1,0.042,0.0063,0.0000676,0.249,0.593,122.057,4
spotify:track:5yvhdo8FXbBsIllxv2Rr94,"Prom","Ctrl","SZA",2017-06-09,196120,68,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:23:24Z,"r&b","Top Dawg Entertainment/RCA Records",0.805,0.702,1,-4.877,1,0.0887,0.0639,0,0.123,0.225,120.048,4
spotify:track:06u5LrUpbosQlQ1QJFhPpG,"Drew Barrymore","Ctrl","SZA",2017-06-09,231412,72,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:23:29Z,"r&b","Top Dawg Entertainment/RCA Records",0.577,0.523,0,-5.538,0,0.0429,0.491,0,0.147,0.29,134.93,4
spotify:track:0dyiHoYbYjYaOEXLpmzQZG,"Supercut","Melodrama","Lorde",2017-06-16,277506,0,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:23:52Z,"","Universal Music Group",0.587,0.442,0,-10.395,1,0.0506,0.225,0.0000272,0.0801,0.158,124.881,4
spotify:track:0Pw6Gg8QChw5iSRRSrcWXP,"Opps (with Yugen Blakrok)","Black Panther The Album Music From And Inspired By","Vince Staples;Yugen Blakrok",2018-02-09,180893,0,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:24:04Z,"","Universal Music Group",0.708,0.785,1,-6.809,1,0.322,0.152,0.0000818,0.406,0.854,128.074,4
spotify:track:7wdzLe2Gsx1RGqbvYZHASz,"i","i","Kendrick Lamar",2014-09-23,231933,68,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:24:20Z,"hip hop,west coast hip hop","Aftermath",0.755,0.884,10,-5.296,0,0.0638,0.0208,0.00000297,0.248,0.897,121.927,4
spotify:track:5SxkdsY1ufZzoq9iXceLw9,"no tears left to cry","no tears left to cry","Ariana Grande",2018-04-20,205946,1,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:24:32Z,"pop","Universal Records",0.703,0.696,0,-5.482,1,0.0529,0.0375,0.00000565,0.274,0.366,121.969,4
spotify:track:5tjgHs2wxXAUnf3PFCDWEB,"Turning Out","The Click","AJR",2017-06-30,260961,41,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:24:40Z,"","Black Butter",0.603,0.516,3,-5.49,1,0.036,0.157,0,0.131,0.385,97.001,4
spotify:track:0b9oOr2ZgvyQu88wzixux9,"This Is America","This Is America","Childish Gambino",2018-05-06,225773,67,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:25:11Z,"","Wolf+Rothstein/RCA Records",0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,4
spotify:track:0d2iYfpKoM0QCKvcLCkBao,"Eastside (with Halsey & Khalid)","Eastside (with Halsey & Khalid)","benny blanco;Halsey;Khalid",2018-07-12,173799,73,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:25:26Z,"","Benny Blanco Solo Album PS",0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,4
spotify:track:3j8FPquKEOygdUMLLs1Pxr,"Candlelight","Candlelight","Zhavia",2018-07-26,189733,44,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:25:40Z,"","Columbia",0.511,0.542,2,-7.398,1,0.336,0.387,0,0.181,0.439,134.907,4
spotify:track:5cbpoIu3YjoOwbBDGUEp3P,"Car Radio","Vessel","Twenty One Pilots",2013-01-08,267720,70,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:25:52Z,"","Fueled By Ramen",0.766,0.519,9,-7.355,0,0.0366,0.098,0,0.0855,0.612,129.972,4
spotify:track:3C3cr2JQwXIhqAHqOardVO,"Holding on to You","Vessel","Twenty One Pilots",2013-01-08,263733,67,false,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:25:57Z,"","Fueled By Ramen",0.608,0.776,11,-3.635,1,0.0511,0.241,0,0.0713,0.814,89.996,4
spotify:track:5OCJzvD7sykQEKHH7qAC3C,"God is a woman","Sweetener","Ariana Grande",2018-08-17,197546,78,true,22vuuczgj6fzhb3ahyope7ozq,2022-05-22T20:26:05Z,"pop","Republic Records",0.602,0.658,1,-5.934,1,0.0558,0.0233,0.00006,0.237,0.268,145.031,4
